artist,album_name,album_year,album_category,song_name,song_genre,song_lyrics
Metallica,Kill 'Em All,1983,album,Blitzkrieg,rock,Let us have peace let us have life Let us escape the cruel night Let us have time let the sun shine Let us beware the deadly sign  The day is coming Armageddon's near Inferno's coming can we survive the blitzkrieg The blitzkrieg the blitzkrieg  Save us from fate save us from hate Save ourselves before it's too late Come to our need hear our plea Save ourselves before the earth bleeds  The day is dawning the time is near Aliens calling can we survive the blitzkrieg
Metallica,Ride The Lightning,1984,album,Fight Fire With Fire,rock,Do unto others as they've done to you But what the hell is this world coming to  Blow the universe into nothingness Nuclear warfare shall lay us to rest  Fight fire with fire Ending is near Fight fire with fire Bursting with fear We all shall die  Time is like fuse short and burning fast Armageddon's here like said in the past  Fight fire with fire Ending is near Fight fire with fire Bursting with fear  Soon to fill our lungs the hot winds of death The gods are laughing so take your last breath  Fight fire with fire Ending is near Fight fire with fire Bursting with fear  Fight fire with fire Fight fire with fire Fight fire with fire Fight fire with fire Fight fire with fire Fight fire with fire Fight fire with fire Fight fire with fire Fight
Metallica,Ride The Lightning,1984,album,Ride The Lightning,rock,Guilty as charged But damn it it ain't right There's someone else controlling me  Death in the air Strapped in the electric chair This can't be happening to me  Who made you God to say I'll take your life from you  Flash before my eyes Now it's time to die Burning in my brain can feel the flame  Wait for the sign To flick the switch of death It's the beginning of the end  Sweat chilling cold As watch death unfold Consciousness my only friend  My fingers grip with fear What am doing here  Flash before my eyes Now it's time to die Burning in my brain can feel the flame  Someone help me Oh please God help me They're trying to take it all away don't want to die  Time moving slow The minutes seem like hours The final curtain call see  How true is this Just get it over with If this is true just let it be  Wakened by horrid scream Freed from this frightening dream  Flash before my eyes Now it's time to die Burning in my brain can feel the flame
Metallica,Ride The Lightning,1984,album,For Whom The Bell Tolls,rock,Make his fight on the hill in the early day Constant chill deep inside Shouting gun on they run through the endless grey On they fight for they're right yes but who's to say For hill men would kill why They do not know Stiffened wounds test their pride Men of five still alive through the raging glow Gone insane from the pain that they surely know  For whom the bell tolls Time marches on For whom the bell tolls  Take look to the sky just before you die It's the last time you will Blackened roar massive roar fills the crumbling sky Shattered goal fills his soul with ruthless cry Stranger now are his eyes to this mystery He hears the silence so loud Crack of dawn all is gone except the will to be Now they see what will be blinded eyes to see  For whom the bell tolls Time marches on For whom the bell tolls
Metallica,Ride The Lightning,1984,album,Fade To Black,rock,Life it seems will fade away Drifting further every day Getting lost within myself Nothing matters no one else have lost the will to live Simply nothing more to give There is nothing more for me Need the end to set me free  Things not what they used to be Missing one inside of me Deathly lost this can't be real Cannot stand this hell feel  Emptiness is filling me To the point of agony Growing darkness taking dawn was me but now he's gone  No one but me can save myself but it's too late Now can't think think why should even try  Yesterday seems as though it never existed Death greets me warm now will just say goodbye
Metallica,Ride The Lightning,1984,album,Trapped Under Ice,rock,don't know how to live through this hell Woken up I'm still locked in this shell Frozen soul frozen down to the core Break the ice can't take anymore  Freezing Can't move at all Screaming Can't hear my call am dying to live Cry out I'm trapped under ice  Crystallized as lay here and rest Eyes of glass stare directly at death From deep sleep have broken away No one knows no one hears what say  Freezing Can't move at all Screaming Can't hear my call am dying to live Cry out I'm trapped under ice  Scream from my soul Fate mystified Hell forever more No release from my cryonic state What is this I've been stricken by fate Wrapped up tight cannot move can't break free Hand of doom has tight grip on me  Freezing Can't move at all Screaming Can't hear my call am dying to live Cry out I'm trapped under ice
Metallica,Ride The Lightning,1984,album,Escape,rock,Feel no pain but my life ain't easy know I'm my best friend No one cares but I'm so much stronger I'll fight until the end  To escape from the true false world Undamaged destiny Can't get caught in the endless circle Ring of stupidity  Out for my own out to be free One with my mind they just can't see No need to hear things that they say Life's for my own to live my own way  Rape my mind and destroy my feelings Don't tell me what to do don't care now 'cause I'm on my side And can see through you  Feed my brain with your socalled standards Who says that ain't right Break away from your common fashion See through your blurry sight  Out for my own out to be free One with my mind they just can't see No need to hear things that they say Life's for my own to live my own way  See them try to bring the hammer down No damn chains can hold me to the ground  Life's for my own to live my own way  Life's for my own to live my own way Life's for my own to live my own way Life's for my own to live my own way Life's for my own to live my own way Life's for my own to live my own way
Metallica,Ride The Lightning,1984,album,Creeping Death,rock,Slaves Hebrews born to serve to the pharaoh Heed To his every word live in fear Faith Of the unknown one the deliverer Wait Something must be done four hundred years  So let it be written So let it be done I'm sent here by the chosen one So let it be written So let it be done To kill the first born pharaoh son I'm creeping death  Now Let my people go Land Of Goshen Go will be with thee bush of fire Blood Running red and strong down the Nile Plague Darkness three days long hail to fire  So let it be written So let it be done I'm sent here by the chosen one So let it be written So let it be done To kill the first born pharaoh son I'm creeping death  Die by my hand creep across the land Killing first born man  Die by my hand creep across the land Killing first born man Rule the midnight air the destroyer Born shall soon be there deadly mass Creep the steps and floor final darkness Blood Lamb's blood painted door shall pass  So let it be written So let it be done I'm sent here by the chosen one So let it be written So let it be done To kill the first born pharaoh son I'm creeping death
Metallica,Master Of Puppets,1986,album,Battery,rock,Lashing out the action returning the reaction Weak are ripped and torn away Hypnotizing power crushing all that cower Battery is here to stay  Smashing through the boundaries Lunacy has found me Cannot stop the battery Pounding out aggression Turns into obsession Cannot kill the battery  Cannot kill the family Battery is found in me  Battery Battery  Crushing all deceivers mashing nonbelievers Neverending potency Hungry violenceseeker feeding off the weaker Breeding on insanity  Smashing through the boundaries Lunacy has found me Cannot stop the battery Pounding out aggression Turns into obsession Cannot kill the battery  Cannot kill the family Battery is found in me  Battery Battery  Circle of destruction hammer comes crushing Powerhouse of energy Whipping up fury dominating flurry We create the battery  Smashing through the boundaries Lunacy has found me Cannot stop the battery Pounding out aggression Turns into obsession Cannot kill the battery  Cannot kill the family Battery is found in me  Battery  Battery Battery Battery
Metallica,Master Of Puppets,1986,album,Master Of Puppets,rock,End of passion play crumbling away I'm your source of selfdestruction Veins that pump with fear sucking darkest clear Leading on your death's construction Taste me you will see More is all you need You're dedicated to How I'm killing you  Come crawling faster Obey your master Your life burns faster Obey your master Master  Master of puppets I'm pulling your strings Twisting your mind and smashing your dreams Blinded by me you can't see thing Just call my name 'cause I'll hear you scream Master Master Just call my name 'cause I'll hear you scream Master Master  Needlework the way never you betray Life of death becoming clearer Pain monopoly ritual misery Chop your breakfast on mirror Taste me you will see More is all you need You're dedicated to How I'm killing you  Come crawling faster Obey your master Your life burns faster Obey your master Master  Master of puppets I'm pulling your strings Twisting your mind and smashing your dreams Blinded by me you can't see thing Just call my name 'cause I'll hear you scream Master Master Just call my name 'cause I'll hear you scream Master Master  Master master Where's the dreams that I've been after Master master You promised only lies Laughter laughter All hear or see is laughter Laughter laughter Laughing at my cries  Fix me  Hell is worth all that natural habitat Just rhyme without reason Neverending maze drift on numbered days Now your life is out of season will occupy will help you die will run through you Now rule you too  Come crawling faster Obey your master Your life burns faster Obey your master Master  Master of puppets I'm pulling your strings Twisting your mind and smashing your dreams Blinded by me you can't see thing Just call my name 'cause I'll hear you scream Master Master Just call my name 'cause I'll hear you scream Master Master
